base_user,imp_user,direction,mode,modality,fusion,k,threshold,tau_eer,tn,fp,fn,tp,accuracy,precision,recall,f1,frr,far,eer
user7,user11,user7->user11,multimodal,,max,,0.9783806800842285,1.0,8,2,0,30,0.95,0.9375,1.0,0.967741935483871,0.2,0.0,0.0
user7,user12,user7->user12,multimodal,,mean,,0.8001669645309448,0.8952889442443848,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user7,user2,user7->user2,multimodal,,max,,0.9898586273193359,1.0,9,1,0,30,0.975,0.967741935483871,1.0,0.9836065573770492,0.1,0.0,0.0
user7,user3,user7->user3,multimodal,,mean,,0.8062717914581299,0.9894319176673889,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user7,user4,user7->user4,multimodal,,max,,0.9933174848556519,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user7,user5,user7->user5,multimodal,,mean,,0.7684904932975769,0.8121150732040405,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user7,user6,user7->user6,multimodal,,mean,,0.7786090970039368,0.9735862016677856,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user7,user8,user7->user8,multimodal,,kofm,4,0.8774999999999995,0.5,10,0,28,2,0.3,1.0,0.06666666666666667,0.125,0.0,0.9333333333333333,0.15
user7,user9,user7->user9,multimodal,,mean,,0.7806171774864197,0.8462212085723877,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user8,user1,user8->user1,multimodal,,mean,,0.6841529011726379,0.9440193176269531,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user8,user10,user8->user10,multimodal,,mean,,0.7047048807144165,0.9999970197677612,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user8,user11,user8->user11,multimodal,,mean,,0.6588199734687805,0.9887640476226807,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user8,user12,user8->user12,multimodal,,mean,,0.7000348567962646,0.920296311378479,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user8,user2,user8->user2,multimodal,,mean,,0.6896044015884399,0.8856564164161682,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user8,user3,user8->user3,multimodal,,max,,0.9897025227546692,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user8,user4,user8->user4,multimodal,,mean,,0.7171992063522339,0.9073861241340637,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user8,user5,user8->user5,multimodal,,mean,,0.6974422335624695,0.9999483227729797,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user8,user6,user8->user6,multimodal,,max,,0.9908111691474915,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user8,user7,user8->user7,multimodal,,mean,,0.6783249378204346,0.6479909420013428,10,0,1,29,0.975,1.0,0.9666666666666667,0.983050847457627,0.0,0.03333333333333333,0.0
user8,user9,user8->user9,multimodal,,mean,,0.7093654870986938,0.9999853372573853,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user9,user1,user9->user1,multimodal,,max,,0.9737063050270081,1.0,1,9,0,30,0.775,0.7692307692307693,1.0,0.8695652173913044,0.9,0.0,0.35
user9,user10,user9->user10,multimodal,,mean,,0.6933477520942688,0.6076114177703857,9,1,26,4,0.325,0.8,0.13333333333333333,0.2285714285714286,0.1,0.8666666666666667,0.6
user9,user11,user9->user11,multimodal,,max,,0.9908750653266907,1.0,2,8,0,30,0.8,0.7894736842105263,1.0,0.8823529411764706,0.8,0.0,0.3
user9,user12,user9->user12,multimodal,,mean,,0.6936787366867065,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user9,user2,user9->user2,multimodal,,max,,0.9794349670410156,1.0,2,8,0,30,0.8,0.7894736842105263,1.0,0.8823529411764706,0.8,0.0,0.3
user9,user3,user9->user3,multimodal,,mean,,0.6507008075714111,0.9999690651893616,8,2,0,30,0.95,0.9375,1.0,0.967741935483871,0.2,0.0,0.0
user9,user4,user9->user4,multimodal,,kofm,4,0.8774999999999995,0.75,10,0,12,18,0.7,1.0,0.6,0.7499999999999999,0.0,0.4,0.1
user9,user5,user9->user5,multimodal,,mean,,0.736129641532898,0.5496410727500916,10,0,28,2,0.3,1.0,0.06666666666666667,0.125,0.0,0.9333333333333333,0.7833333333333333
user9,user6,user9->user6,multimodal,,mean,,0.6649646162986755,0.8174676895141602,9,1,0,30,0.975,0.967741935483871,1.0,0.9836065573770492,0.1,0.0,0.0
user9,user7,user9->user7,multimodal,,mean,,0.6775068044662476,0.8330474495887756,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
user9,user8,user9->user8,multimodal,,kofm,4,0.8774999999999995,1.0,10,0,0,30,1.0,1.0,1.0,1.0,0.0,0.0,0.0
MEAN,,,,,,,0.7417453565742029,0.8986896615136754,9.166666666666666,0.8333333333333334,2.553030303030303,27.446969696969695,0.915340909090909,0.972119707790808,0.9148989898989899,0.917682077363606,0.08333333333333333,0.0851010101010101,0.045580808080808076
